,,,unique_id,,,,,,lang,region,sous-region,city,,,,province,country,timestamp_creation,vegetable_fruit,meat,processed_product,maple_honey,bread,dairy,wild_product,seafood,oils_and_vinegars,alcohol_free_drink,alcohol_below_18_drink,alcohol_above_18_drink,non_food_products
,,,xNtjzzMTE4Jfvrml7yaw,,,,,,fr,Capitale-Nationale,Portneuf,Saint-Ubalde,,,,Quebec,Canada,2021-04-14,TRUE,,TRUE,,,,,,,,,,
,,,w0o8q8mue34E0MO09Tzy,,,,,,fr,Estrie,Brome-Missisquoi,Frelighsburg,,,,Quebec,Canada,2021-04-14,,,TRUE,,,,TRUE,,,,,,
,,,xc3XTpsArVmpjfFAdNik,,,,,,fr,Chaudière-Appalaches,Les Appalaches,Saint-Jacques-De-Leeds,,,,Quebec,Canada,2021-04-16,TRUE,,,,,,,,,,,,
,,,eZmLoWGLNiuoq7VUFESt,,,,,,fr,Mauricie,Mékinac,Saint-Tite,,,,Quebec,Canada,2021-04-20,,TRUE,TRUE,,,,,,,,,,
,,,4NK5HrGBRsSOuU6DBpXX,,,,,,fr,Montréal,Mercier - Hochelaga-Maisonneuve,Montréal,,,,Quebec,Canada,2021-04-22,TRUE,,,,,,,,,,,,
,,,Yfjcq7zoN7VFhpTLJDCi,,,,,,fr,Montérégie,Le Haut-Richelieu,Saint-Sébastien,,,,Quebec,Canada,2021-04-22,TRUE,,,,,,,,,,,,
,,,qa7vMhFqqvQu3C66ROhw,,,,,,fr,Chaudière-Appalaches,Bellechasse,St-Lazare De Bellechasse,,,,Quebec,Canada,2021-04-22,,TRUE,TRUE,,,,,,,,,,
,,,y7xqFJzU0W8gpAMUBesS,,,,,,fr,Montréal,Le Plateau-Mont-Royal,Montréal,,,,Quebec,Canada,2021-04-25,,,TRUE,,,,,,,,,,
,,,z61XDugXIl0egI5klTMe,,,,,,fr,Chaudière-Appalaches,La Nouvelle-Beauce,Sainte-Hénédine,,,,Quebec,Canada,2021-04-26,TRUE,,TRUE,,TRUE,,,,,,,,
,,,6FEvmyTyhfdKT53ys550,,,,,,fr,Montréal,Rosemont - La Petite-Patrie,Montréal,,,,Quebec,Canada,2021-04-26,,,,,,,TRUE,,,,,,
,,,NM7qCiYxW17pRC2mPEAo,,,,,,fr,Laval,Laval,Laval,,,,Quebec,Canada,2021-04-26,,,TRUE,,,,,,,,,,
,,,Y5Pl07wxbJKSGGObGIXR,,,,,,fr,Saguenay--Lac-Saint-Jean,,La Doré,,,,Quebec,Canada,2021-04-26,,,,TRUE,,,,,,,,,
,,,bNYNl90nrbPBj0kCDncH,,,,,,fr,Capitale-Nationale,Portneuf,Deschambault-Grondines,,,,Quebec,Canada,2021-04-26,,,,,,TRUE,,,,,,,
,,,ewZrNMuuIeGxk9N2XhXe,,,,,,fr,Montérégie,Les Maskoutains,Saint-Pie,,,,Quebec,Canada,2021-04-26,,TRUE,TRUE,,,,,,,,,,
,,,2fsuT0sBmyRVQTDOAhEU,,,,,,fr,Estrie,La Haute-Yamaska,Granby,,,,Quebec,Canada,2021-04-26,,,TRUE,,,,,,,,,,
,,,b7yIWkYkt7PJvW6mERGr,,,,,,fr,Chaudière-Appalaches,Robert-Cliche,Saint-Odilon,,,,Quebec,Canada,2021-04-28,,,,,,,TRUE,,,,,,
,,,5SbYMzADNTSypp3CHqdt,,,,,,fr,Estrie,Brome-Missisquoi,Cowansville,,,,Quebec,Canada,2021-04-30,,,,,TRUE,,,,,,,,
,,,lsbD1MN1P4Du0Sr3WvHG,,,,,,fr,Laurentides,,Mont-Laurier,,,,Quebec,Canada,2021-04-30,,TRUE,,,,,,,,,,,
,,,BuLx0cKinDo7V0qAp6Se,,,,,,fr,Estrie,Brome-Missisquoi,Dunham,,,,Quebec,Canada,2021-05-03,TRUE,TRUE,TRUE,,,,,,,,,,
,,,9kcWWfAXS5ffwxWZrkev,,,,,,fr,Montréal,Rosemont - La Petite-Patrie,Montreal,,,,Quebec,Canada,2021-05-03,,,TRUE,,,,,,,,,,
,,,khpuT6tNE6EaX7sVU8ZY,,,,,,fr,Estrie,Memphrémagog,Magog,,,,Quebec,Canada,2021-05-03,,,TRUE,,,,,,,,,,
,,,8ZfwHCX7pPG1WOcWJjps,,,,,,fr,Montérégie,Les Maskoutains,Saint-Louis,,,,Quebec,Canada,2021-05-04,TRUE,,,,,,,,,,,,
,,,4433BFsbGqZF1hJtGrYb,,,,,,en,Montréal,Senneville,Senneville,,,,Quebec,Canada,2021-05-04,TRUE,,,,,,,,,,,,
,,,owDfAUp7ai39x6ZXKmH5,,,,,,fr,Lanaudière,Montcalm,Saint-Jacques,,,,Quebec,Canada,2021-05-04,TRUE,,,,,,,,,,,,
,,,uTdjR5teGiyPUxevtYn8,,,,,,fr,Lanaudière,Montcalm,St-Roch De L'Achigan,,,,Quebec,Canada,2021-05-04,TRUE,,,,,,,,,,,,
,,,2J3hqdhoK3GbUcxiQN2M,,,,,,fr,Gaspésie--Îles-de-la-Madeleine,Bonaventure,Saint-Alphonse,,,,Quebec,Canada,2021-05-04,,,TRUE,,,,,,,,,,
,,,NAdm1t8ogDzB42oJVq51,,,,,,fr,Saguenay--Lac-Saint-Jean,Lac-Saint-Jean-Est,St-Gédéon,,,,Quebec,Canada,2021-05-04,,,TRUE,,,,,,,,,,
,,,XC1iuDQasxRK9c2hyjYK,,,,,,fr,Lanaudière,D'Autray,Lanoraie,,,,Quebec,Canada,2021-05-04,,,TRUE,,,,,,,,,,
,,,awSCzGH4um0ty854qtOO,,,,,,fr,Chaudière-Appalaches,L'Islet,St-Jean-Port-Joli,,,,Quebec,Canada,2021-05-04,,,TRUE,,TRUE,,,,,,,,
,,,DKtUDDe6z3kHyNnSx35m,,,,,,fr,Laurentides,,Mont-Laurier,,,,Quebec,Canada,2021-05-05,TRUE,,,,,,,,,,,,
,,,MK82nbYcxHkVnPO6gdFI,,,,,,fr,Estrie,Les Sources,Richmond,,,,Quebec,Canada,2021-05-05,TRUE,,,,,,,,,,,,
,,,5HrZE1okSYNyQo7Szn3V,,,,,,fr,Lanaudière,D'Autray,Berthierville,,,,Quebec,Canada,2021-05-05,,,TRUE,,,,,,,,,,
,,,9DxJd1Xh4cojMGl2rcHD,,,,,,fr,Chaudière-Appalaches,Montmagny,St-Francois-De-La-Riviere-Du-S,,,,Quebec,Canada,2021-05-06,TRUE,TRUE,TRUE,,,,,,,,,,
,,,cvFXYLUKo22j17jxT8DC,,,,,,fr,Montérégie,Les Maskoutains,La Présentation,,,,Quebec,Canada,2021-05-06,TRUE,,,,,,,,,,,,
,,,1QEz84NbcXp0r7dHxH59,,,,,,fr,Estrie,Le Val-Saint-François,Ste-Anne-De-La-Rochelle,,,,Quebec,Canada,2021-05-10,TRUE,,,,,,,,,,,,
,,,PKpjB4uehZ9kemtamXaF,,,,,,fr,Estrie,Brome-Missisquoi,Bolton-Ouest,,,,Quebec,Canada,2021-05-10,,,TRUE,TRUE,,,,,TRUE,,,,
,,,FV4U8Za8rFk7OZj10xLB,,,,,,fr,Laurentides,Argenteuil,Harrington,,,,Quebec,Canada,2021-05-10,,,TRUE,,,,TRUE,,,,,,
,,,2pyq8z3Njj0ZFJtAYJCj,,,,,,fr,Chaudière-Appalaches,Robert-Cliche,St-Joseph Bce,,,,Quebec,Canada,2021-05-11,TRUE,,,,,,,,,,,,
,,,7pQMX4ohLdQTqB99bewh,,,,,,fr,Montérégie,Vaudreuil-Soulanges,Rigaud,,,,Quebec,Canada,2021-05-11,TRUE,,,,,,,,,,,,
,,,aE9IlNp4zWX8MozZFM3i,,,,,,fr,Montérégie,Longueuil,Boucherville,,,,Quebec,Canada,2021-05-11,TRUE,TRUE,,TRUE,,,,,,,,,
,,,ENhY78GZ3uOxwe3MqU1Z,,,,,,fr,Côte-Nord,Sept-Rivières,Clarke City,,,,Quebec,Canada,2021-05-11,,,TRUE,,,,TRUE,,,,,,
,,,aosWqMDVt7q8vkCDNmTe,,,,,,fr,Nord-du-Québec,,Chibougamau,,,,Quebec,Canada,2021-05-11,,,,,,,TRUE,,,,,,
