,,,unique_id,,org_cat,,,,,lang,region,sous-region,city,,,,province,country,timestamp_creation
,,,DdCumyx81ilLByGwOoPo,,consumer,,,,,fr,Montréal,Rosemont - La Petite-Patrie,Montréal,,,,Quebec,Canada,2022-05-16
,,,o4S7PZ5dIZ1vDh5Oqgks,,consumer,,,,,fr,Montérégie,Marguerite-D'Youville,Varennes,,,,Quebec,Canada,2022-05-25
,,,KtwqnCyysMaYWPr5nD4L,,consumer,,,,,en,Montérégie,Longueuil,St-Hubert,,,,Quebec,Canada,2022-05-27
,,,zK3xfH6I4pdNtzLbVxcx,,consumer,,,,,fr,Estrie,Brome-Missisquoi,Bromont,,,,Quebec,Canada,2022-05-27
,,,TUB4of4Ps8snc0kPEUov,,consumer,,,,,fr,Estrie,Brome-Missisquoi,Lac Brome,,,,Quebec,Canada,2022-05-28
,,,uE7BOuqNeWcLUH7GpfPl,,consumer,,,,,fr,Montréal,Pierrefonds - Roxboro,"Pierrefonds, Montreal",,,,Quebec,Canada,2022-05-29
,,,Z0NSXkg2TIigb2mDSDdD,,consumer,,,,,fr,Montréal,Ville-Marie,montreal,,,,Quebec,Canada,2022-05-31
,,,fMmUgXOwLgSXzpayg83k,,consumer,,,,,en,Montréal,Le Sud-Ouest,Montreal,,,,Quebec,Canada,2022-05-31
,,,08QBoCgLQir5J0nWCQrR,,consumer,,,,,fr,Laurentides,Les Laurentides,saint-agathe des monts,,,,Quebec,Canada,2022-06-01
,,,oWyuoGjRCHyGxd00XWTg,,consumer,,,,,fr,Laurentides,,Nominingue,,,,Quebec,Canada,2022-06-06
,,,H0xn7HhL7tarmjMeQWS1,,consumer,,,,,fr,Estrie,Brome-Missisquoi,Frelighsburg,,,,Quebec,Canada,2022-06-14
,,,AflaPpeWt8YWGrg6eJmj,,consumer,,,,,fr,Montréal,Le Plateau-Mont-Royal,Montréal,,,,Quebec,Canada,2022-06-15
,,,EYfMLzIMylhNeqY820Sq,,consumer,,,,,fr,Montréal,LaSalle,LaSalle,,,,Quebec,Canada,2022-06-15
,,,hbLe08yTv9lUyvPZNQIQ,,consumer,,,,,fr,Saguenay--Lac-Saint-Jean,Saguenay,Saguenay,,,,Quebec,Canada,2022-06-17
,,,dzNBhUAAXbFuIyum9p2C,,consumer,,,,,en,Montréal,Westmount,Westmount,,,,Quebec,Canada,2022-06-26
,,,oZxRi3NigTMVNvJ3usUN,,consumer,,,,,fr,Estrie,Memphrémagog,Eastman,,,,Quebec,Canada,2022-07-07
,,,1bU8ipEcRpYbejlSFHxl,,consumer,,,,,fr,Saguenay--Lac-Saint-Jean,Saguenay,saguenay,,,,Quebec,Canada,2022-07-11
,,,GuSgsqZ1hEhTOd8Oskmt,,consumer,,,,,fr,Capitale-Nationale,Québec,quebec,,,,Quebec,Canada,2022-07-11
,,,dfQBAElcwWUrmtndqnk4,,consumer,,,,,fr,Montérégie,Longueuil,Boucherville,,,,Quebec,Canada,2022-07-13
,,,zgh82Dkx6dZGQrqJOlvd,,consumer,,,,,fr,Chaudière-Appalaches,Les Appalaches,leeds,,,,Quebec,Canada,2022-07-16
,,,SuBxOPd5aTlDUYAO3OsD,,consumer,,,,,en,Montréal,Le Sud-Ouest,Lasalle,,,,Quebec,Canada,2022-07-26
,,,yjacTfCWzZoHzGZLkXmP,,consumer,,,,,fr,Montréal,Rosemont - La Petite-Patrie,Montréal,,,,Quebec,Canada,2022-08-01
,,,3zvlTpwJP0mcmwrS3MmI,,consumer,,,,,fr,Centre-du-Québec,Drummond,Drummondville,,,,Quebec,Canada,2022-08-08
