Id,Number,Timestamp,Due date,,,Uniq items ordered,Amount excluding taxes (CAD),Amount including taxes (CAD),Status,Distribution mode,Delivery date,Delivery fees (CAD),Distance to pickup (km),Vendor organization id,,Buyer organization id,,Creator organization id,,Creator logged in
OugZxNWBzkYUX0w4TyXp,PO-000015,2024-06-17,2021-10-05,,,5,"488,75","488,75",completed,delivery,2021-09-23,,,De0LQFAAw6JiFjMTbVuV,,kPR5gdiIWhU83HolpuPz,,,,FALSE
aPjm9H3SQp1aP1Vg0YvL,PO-000014,2024-06-17,2021-10-05,,,3,"118,35","118,35",completed,delivery,2021-09-23,0,,De0LQFAAw6JiFjMTbVuV,,XXFYWimSEqlKQ10nKlBg,,,,FALSE
x8ho5awrxggNGOJzIqBI,PO-000016,2024-06-17,2021-10-11,,,5,311,311,completed,delivery,2021-09-30,,,De0LQFAAw6JiFjMTbVuV,,kPR5gdiIWhU83HolpuPz,,,,FALSE
nonnZYF5VSrqEhJr8cao,PO-000019,2024-06-17,2021-10-12,,,2,"66,7","66,7",completed,delivery,2021-09-30,5,,De0LQFAAw6JiFjMTbVuV,,9H9zlZVE3y5OBMsIFTzi,,9H9zlZVE3y5OBMsIFTzi,,TRUE
tKLSEOAwVad3CnLCWW8a,PO-000017,2024-06-17,2021-10-12,,,9,"183,04","183,04",completed,delivery,2021-09-30,,,De0LQFAAw6JiFjMTbVuV,,XXFYWimSEqlKQ10nKlBg,,,,FALSE
xaAOr52Zmpzd1raivYOH,PO-000001,2024-06-17,2021-10-12,,,3,45,45,completed,delivery,2021-09-29,0,,ND021xr8L4qkAQUSIYKx,,bzhP3T3xLsB5H7t27eXc,,,,FALSE
yRFMSyFFwkmH7TUpbBKx,PO-000002,2024-06-17,2021-10-12,,,1,60,60,completed,delivery,2021-09-29,0,,ND021xr8L4qkAQUSIYKx,,01vvuU5DBHzljemulhPS,,,,FALSE
zPGXJqRTmFGd6R076onj,PO-000018,2024-06-17,2021-10-12,,,8,"74,68","74,68",completed,delivery,2021-09-30,10,,De0LQFAAw6JiFjMTbVuV,,bzhP3T3xLsB5H7t27eXc,,,,FALSE
KYt319GUcBRDPWrG9DnG,PO-000020,2024-06-17,2021-10-13,,,1,374,374,completed,delivery,2021-09-30,,,De0LQFAAw6JiFjMTbVuV,,Hf68LT9VWlD13M0uSDZX,,,,FALSE
PSpZcHelbrJbfypnxa4N,PO-000021,2024-06-17,2021-10-18,,,3,"162,16","162,16",completed,delivery,2021-10-07,,,De0LQFAAw6JiFjMTbVuV,,4uZwmjgqxKbD6xFoxs4S,,,,FALSE
WC7umdqz9XRC9g76iFpm,PO-000022,2024-06-17,2021-10-19,,,6,221,221,completed,delivery,2021-10-07,,,De0LQFAAw6JiFjMTbVuV,,jMnGfBkwn6XFacanPWbO,,,,FALSE
