Id,Number,Timestamp,Due date,,,Uniq items ordered,Amount excluding taxes (CAD),Amount including taxes (CAD),Status,Distribution mode,Delivery date,Delivery fees (CAD),Distance to pickup (km),Vendor organization id,,Buyer organization id,,Creator organization id,,Creator logged in
CE8uOCnu7ztt2B72i1ME,PO-000007,2024-06-17,2021-07-17,,,1,150,150,completed,delivery,2021-06-18,,,4NK5HrGBRsSOuU6DBpXX,,,,,,FALSE
N17DlncAsELJup0Qz2KT,PO-000002,2024-06-17,2021-07-02,,,1,240,240,completed,delivery,2021-06-18,,,4NK5HrGBRsSOuU6DBpXX,,,,,,FALSE
RNVln0TtolYAJ9ohnzoA,PO-000004,2024-06-17,2021-07-02,,,1,150,150,completed,delivery,2021-06-18,,,4NK5HrGBRsSOuU6DBpXX,,,,,,FALSE
VzRtQcXosHo7YRZXk5qx,PO-000003,2024-06-17,2021-07-02,,,1,180,180,completed,delivery,2021-06-18,,,4NK5HrGBRsSOuU6DBpXX,,,,,,FALSE
YaYvZ7EIYKEevc5pZeQ8,PO-000001,2024-06-17,2021-07-02,,,1,1080,1080,completed,delivery,2021-06-18,,,4NK5HrGBRsSOuU6DBpXX,,,,,,FALSE
sxxA5rLxChiYrRyRzA1V,PO-000006,2024-06-17,2021-07-02,,,1,150,150,completed,delivery,2021-06-18,,,4NK5HrGBRsSOuU6DBpXX,,,,,,FALSE
2kH6pCQgXtH9sWsWIx2M,PO-000012,2024-06-17,2021-07-06,,,1,480,480,completed,delivery,2021-06-22,,,4NK5HrGBRsSOuU6DBpXX,,,,,,FALSE
591jGDb6S3lA3PvpVtdg,PO-000010,2024-06-17,2021-07-21,,,2,"77,5","77,5",completed,delivery,2021-06-22,,,4NK5HrGBRsSOuU6DBpXX,,Hf68LT9VWlD13M0uSDZX,,,,FALSE
6yLZ44hJgOt9m09NssVa,PO-000016,2024-06-17,2021-07-06,,,1,240,240,completed,delivery,2021-06-22,,,4NK5HrGBRsSOuU6DBpXX,,,,,,FALSE
KrmYhZkZf8YskAxJceg9,PO-000017,2024-06-17,2021-07-06,,,1,150,150,completed,delivery,2021-06-22,,,4NK5HrGBRsSOuU6DBpXX,,,,,,FALSE
