Id,Number,Timestamp,Due date,,,Uniq items ordered,Amount excluding taxes (CAD),Amount including taxes (CAD),Status,Distribution mode,Delivery date,Delivery fees (CAD),Distance to pickup (km),Vendor organization id,,Buyer organization id,,Creator organization id,,Creator logged in
64S9MeAskCQwNoM1LPoZ,PO230911-7032,2024-06-17,2023-09-26,,,3,"95,2","95,2",cancelledByCustomer,pickup,2023-09-07,,,b9BfyQpyz5fxTBbguFU8,,,,,,FALSE
6WBpPTLN8QQ5fxMDQd5j,PO240528-6368,2024-06-17,2024-06-12,,,2,"647,5","647,5",cancelledByVendor,delivery,2024-06-04,0,,Wg0Ey5tINc9Me5HiUNxF,,,,Wg0Ey5tINc9Me5HiUNxF,,TRUE
7mzbDveF0XikUFkQjIHV,PO230620-7568,2024-06-17,2023-07-05,,,1,280,280,cancelledByVendor,delivery,2023-06-21,,,EdMFd8C4VuiQVRH7YPvk,,WxRQhwJRfjWH7yyN0J3g,,WxRQhwJRfjWH7yyN0J3g,,TRUE
7w9hLVEVYvmGe3shtgiq,PO220902-1272,2024-06-17,2022-09-17,,,1,"57,75","57,75",cancelledByCustomer,delivery,2022-09-08,0,,OosAh6jwi62Cd5fvEZ8V,,j2o1LdybvFM5UvDkcGP6,,j2o1LdybvFM5UvDkcGP6,,TRUE
8C7MKPCRWcSRoRYGreeU,PO220718-5432,2024-06-17,2022-08-17,,,5,"103,6","103,6",cancelledByVendor,delivery,2022-07-20,,,96WfyBWlY4LIxh97AbYd,,1xqK3yfuYjdPMMkmwnyn,,1xqK3yfuYjdPMMkmwnyn,,TRUE
8hF6x9FMZT4csg3FnZts,PO220803-4712,2024-06-17,2022-08-17,,,3,"222,5","222,5",cancelledByVendor,delivery,2022-08-08,0,,Twa8hckfedqpkTHtPmAx,,,,,,FALSE
8hHmR3D72GXSqmud9Ap1,PO230325-2128,2024-06-17,2023-04-09,,,8,357,357,cancelledByVendor,delivery,2023-03-30,0,,KQHvMD1fQ7jPyrC5nWsK,,wff3QDbtmySxiUgQiaR3,,wff3QDbtmySxiUgQiaR3,,TRUE
999Ok8x30E5HXzYN9VbY,PO-000015,2024-06-17,2021-07-21,,,1,300,300,cancelledByVendor,delivery,2021-06-22,,,4NK5HrGBRsSOuU6DBpXX,,,,,,FALSE
9byxhkUZ3MHWkzEJfExp,PO-000052,2024-06-17,2021-10-09,,,25,"460,85","460,85",cancelledByCustomer,delivery,2021-10-06,,,96WfyBWlY4LIxh97AbYd,,4uZwmjgqxKbD6xFoxs4S,,,,FALSE
ACcf5x7W7aOqW8zvSBBV,PO221121-7096,2024-06-17,2022-12-06,,,5,211,211,cancelledByVendor,delivery,2022-11-23,,,96WfyBWlY4LIxh97AbYd,,01vvuU5DBHzljemulhPS,,01vvuU5DBHzljemulhPS,,TRUE
Ad9v0FMcxc1OQ8Tj3VEf,PO230714-0536,2024-06-17,2023-07-28,,,2,"63,3","63,3",cancelledByVendor,pickup,2023-07-20,,,5SbYMzADNTSypp3CHqdt,,zUSbxmxRpdcgdKQPanB3,,zUSbxmxRpdcgdKQPanB3,,TRUE
AnCKRFYty0JWXI8pkmyX,230630-0696,2024-06-17,2023-07-15,,,3,188,188,cancelledByVendor,delivery,2023-07-04,0,,OosAh6jwi62Cd5fvEZ8V,,rjWT03Fscs4qvCFrcTqp,,rjWT03Fscs4qvCFrcTqp,,TRUE
Ar5sYNdPxQJa2nx1EajJ,PO220620-2552,2024-06-17,2022-07-05,,,1,120,120,cancelledByVendor,delivery,2022-06-30,0,,P0Iitacxyj2I5elzcMRX,,y8wifilUDIxGFzk61Inf,,y8wifilUDIxGFzk61Inf,,TRUE
BHcIvPptbVJWDkHv4I5E,F230716-2768,2024-06-17,2023-08-15,,,8,"59,5","59,5",cancelledByVendor,delivery,2023-07-19,0,,8ZfwHCX7pPG1WOcWJjps,,,,8ZfwHCX7pPG1WOcWJjps,,TRUE
BUoSRst7UxgUXQVrFGDK,PO-000027,2024-06-17,2022-01-02,,,5,"166,5","166,5",cancelledByCustomer,delivery,2021-12-16,,,2fnE1XiuRG39yBo7yB9S,,YW8LHoF2cZugS1w6vxm8,,,,FALSE
Bjm3JYUthzR3Xpg1RDRh,PO220902-1168,2024-06-17,2022-09-17,,,1,"57,75","57,75",cancelledByVendor,delivery,2022-09-08,0,,OosAh6jwi62Cd5fvEZ8V,,j2o1LdybvFM5UvDkcGP6,,j2o1LdybvFM5UvDkcGP6,,TRUE
